,Player,My Move,Opponent Move
352,1.0,Qxa1,Be7
353,1.0,Qa8+,Bd8
354,1.0,O-O,Qxb4
355,1.0,Ne5,Ngf6
356,1.0,Nxd7,Nxd7
357,1.0,Ne2,Qb2
358,1.0,Rd1,O-O
359,1.0,Nf4,Bc7
360,1.0,Qa1,Qb3
361,1.0,Qb1,Qxb1
362,1.0,Rxb1,b6
363,1.0,Bb4,c5
364,1.0,dxc5,bxc5
365,1.0,Ba3,Ra8
366,1.0,Bb2,h6
367,1.0,e4,dxe4
368,1.0,dxe4,Ne5
369,1.0,Bxe5,Bxe5
370,1.0,Nd3,Bd4
371,1.0,Kf1,c4
372,1.0,Nb4,c3
373,1.0,Nc2,e5
374,1.0,Ke2,f6
375,1.0,Kd3,Ra4
376,1.0,f4,Kf7
377,1.0,fxe5,fxe5
378,1.0,Rf1+,Ke6
379,1.0,Rf8,g5
380,1.0,Re8+,Kf6
381,1.0,Rc8,Ra2
382,1.0,Rc6+,Ke7
383,1.0,Rxh6,1-0
384,1.0,Nc3,c5
385,1.0,Nf3,Nc6
386,1.0,e4,a6
387,1.0,d3,Qc7
388,1.0,a3,e6
389,1.0,Bd2,d6
390,1.0,h3,b5
391,1.0,Be2,Bb7
392,1.0,g4,Nf6
393,1.0,Ng5,h6
394,1.0,Nf3,Be7
395,1.0,g5,hxg5
396,1.0,Bxg5,Nh7
397,1.0,Bxe7,Nxe7
398,1.0,h4,O-O
399,1.0,Qd2,Nf6
400,1.0,O-O-O,d5
401,1.0,exd5,Nfxd5
402,1.0,Nxd5,Nxd5
403,1.0,h5,b4
404,1.0,h6,gxh6
405,1.0,Rxh6,Qf4
406,1.0,Rg1+,1-0
407,0.0,,e4
408,0.0,e5,Nf3
409,0.0,d6,Nc3
410,0.0,Nf6,Bc4
411,0.0,Nc6,d3
412,0.0,h6,Nd5
413,0.0,a6,Nxf6+
414,0.0,gxf6,Be3
415,0.0,Bg7,d4
416,0.0,b5,Bd5
417,0.0,Nb4,Bxa8
418,0.0,Bg4,Bd5
419,0.0,Bxf3,Qxf3
420,0.0,Nxc2+,Ke2
421,0.0,Nxa1,Rxa1
422,0.0,O-O,dxe5
423,0.0,dxe5,Qg3
424,0.0,Kh7,f4
425,0.0,exf4,Bxf4
426,0.0,Qe7,Qd3
427,0.0,Qb4,b3
428,0.0,Qa3,Bxc7
429,0.0,Qb2+,Qd2
430,0.0,Qxa1,Qd3
